Kategorie,Alternativer Kategoriename,Name,Alternativer name,Beschreibung,Art der Herausforderung 1,Herausforderungsopt. 2,Herausforderungsopt. 3,Kriterium 1,Kriterium 2,Kriterium 3,Material 1,Material 2,Minuten,Wiederholungen,Bewertung,Ergebnistyp,Token-Belohnungssystem
Soziale Kontakte,,Call me,,Rufe einen Freund an!,Selbstherausforderung,,,geschafft_ja_nein,,,"Telefon, Smartphone",,,,,,
Do it for yourself,,Bravo!,,Mache dir selbst ein ehrliches Kompliment,Selbstherausforderung,,,geschafft_ja_nein,,,Papier,Stift,,,,,
Fähigkeiten ausweiten,,Blaukraut bleibt Blaukraut,,Lerne einen Zungenbrecher auswendig,Selbstherausforderung,Fremdherausforderung,Gemeinsamstark,geschafft_ja_nein,Qualität,,,,,,,,
Fähigkeiten ausweiten,,Klein Erna...,,Lerne einen neuen Witz,Fremdherausforderung,Gemeinsamstark,,geschafft_ja_nein,Qualität,,,,,,,,
Do it for yourself,,Vorfreude,,"Finde etwas, worauf du dich morgen freuen kannst!",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,,,
Do it for yourself,,Hello Sunshine,,Genieße bewusst die nächsten Sonnenstrahlen,Selbstherausforderung,,,geschafft_ja_nein,,,,,,,,,
do it for yourself,,Motto des Tages,,Finde ein Motto für diesen Tag und lebe danach!,Selbstherausforderung,,,Qualität,,,,,,,,,
Do it for yourself,,Shower time,,Genieß heut deine Dusche,Selbstherausforderung,,,geschafft_ja_nein,,,Dusche,,,,,,
Haushalt,,Weg damit!,,Miste heute deinen Kleiderschrank aus,Selbstherausforderung,,,Qualität,Stückzahl,,Kleiderschrank,,,,,,
Soziale Kontakte,,Du bist toll!,,Mache jemand anderes ein Kompliment,Selbstherausforderung,,,geschafft_ja_nein,,,,,,,,,
Do it for yourself,Raus aus der Komfort-Zone!,Mit Stäbchen essen,,Übe mit Stäbchen essen,Selbstherausforderung,Fremdherausforderung,,geschafft_ja_nein,Qualität,,Stäbchen,Essen,,,,,
Fähigkeiten ausweiten,,Musikinstrument,,Lerne ein neues Musikinstrument.,Selbstherausforderung,,,Qualität,Wiederholungen,Zeit,Musikinstrument,,,,,,
Fähigkeiten ausweiten,,Vokabeln einer anderen Sprache aufsagen,,Suche dir eineSprache aus und sage 10 verschiedene Vokabeln auf.,Selbstherausforderung,,,Stückzahl,Qualität,,,,,,,,
Fähigkeiten ausweiten,,in unterschiedlichen Sprachen zählen,,Zähle von 1 bis 10 in unterschiedlichen Sprachen.,Selbstherausforderung,,,geschafft_ja_nein,Qualität,,,,,,,,
Fähigkeiten ausweiten,,Lerne ein wenig Gebärdensprache,,"Suche dir heute 2 Gebärden aus, die du übst.",Selbstherausforderung,,,geschafft_ja_nein,,,,,,,,,
Fähigkeiten ausweiten,,Spiegelverkehrt,,Schreibe deinen ganzen Namen in Spiegelschrift,Selbstherausforderung,,,geschafft_ja_nein,Qualität,,Papier,Stift,,,,,
Fähigkeiten ausweiten,,Nutz mal die andere!,,Schreibe deinen ganzen Namen mit deiner anderen Hand,Selbstherausforderung,,,geschafft_ja_nein,,,Papier,Stift,,,,,
kreativität,,Mandala,,Male ein Mandala aus!,Selbstherausforderung,,,geschafft_ja_nein,,,Mandala,Stifte,,,,,
